日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-05-14,=48.4000,=48.4000,=48.4000,=48.4000,=167596103202.0,=100441974402.0,=42096785478.0,,=17.1050,,,,
2026-05-13,=50.0600,=50.0600,=50.0600,=50.0600,=173344234014.3001,=103886885094.0,=43540600847.7,,=17.6916,,,,
2026-05-12,=49.1400,=49.1400,=49.1400,=49.1400,=170158522961.7001,=101977657482.0,=42740414016.3,,=17.3665,,,,
2026-05-11,=48.2700,=48.2700,=48.2700,=48.2700,=167145948379.3501,=100172192239.0,=41983715599.65,,=17.0590,,,,
2026-05-08,=48.7600,=48.7600,=48.7600,=48.7600,=168842685787.8001,=101189063468.0,=42409902064.2,,=17.2322,,,,
2026-05-07,=47.6000,=47.6000,=47.6000,=47.6000,=164825919678.0001,=98781776478.0,=41400970842.0,,=16.8222,,,,
2026-05-06,=46.9300,=46.9300,=46.9300,=46.9300,=162505890976.6501,=97391360717.0,=40818226084.35,,=16.5854,,,,
2026-04-30,=45.4600,=45.4600,=45.4600,=45.4600,=157415678751.3001,=94340747031.0,=39539666690.7,,=16.0659,,,,
2026-04-29,=46.3800,=46.3800,=46.3800,=46.3800,=160601389803.9001,=96249974644.0,=40339853522.1,,=16.3911,,,,
2026-04-28,=44.2800,=44.2800,=44.2800,=44.2800,=153329658053.4001,=91891955093.0,=38513340102.6,,=16.7611,,,,
2026-04-27,=44.7900,=44.7900,=44.7900,=44.7900,=155095650049.9501,=92950331270.0,=38956921933.05,,=16.9541,,,,
2026-04-24,=44.7900,=44.7900,=44.7900,=44.7900,=155095650049.9501,=92950331270.0,=38956921933.05,,=16.9541,,,,
2026-04-23,=44.6600,=44.6600,=44.6600,=44.6600,=154645495227.3,=92680549107.0,=38843852054.7,,=16.9049,,,,
2026-04-22,=45.9500,=45.9500,=45.9500,=45.9500,=159112416159.7501,=95357618260.0,=39965853155.25,,=17.3932,,,,
2026-04-21,=46.2200,=46.2200,=46.2200,=46.2200,=160047353099.1001,=95917935059.0,=40200690594.9,,=17.4954,,,,
2026-04-20,=46.6600,=46.6600,=46.6600,=46.6600,=161570954037.3,=96831043917.0,=40583388644.7,,=17.6620,,,,
2026-04-17,=46.7500,=46.7500,=46.7500,=46.7500,=161882599683.75,=97017816184.0,=40661667791.25,,=17.6961,,,,
2026-04-16,=47.2200,=47.2200,=47.2200,=47.2200,=163510082504.1001,=97993182464.0,=41070458889.9,,=17.8740,,,,
2026-04-15,=46.8700,=46.8700,=46.8700,=46.8700,=162298127212.3501,=97266845872.0,=40766039986.65,,=17.7415,,,,
2026-04-14,=46.3400,=46.3400,=46.3400,=46.3400,=160462880627.7001,=96166964748.0,=40305062790.3,,=17.5409,,,,
2026-04-13,=45.5400,=45.5400,=45.5400,=45.5400,=157692697103.7001,=94506766824.0,=39609248154.3,,=17.2380,,,,
2026-04-10,=44.9000,=44.9000,=44.9000,=44.9000,=155476550284.5,=93178608485.0,=39052596445.5,,=16.9958,,,,
2026-04-09,=45.0500,=45.0500,=45.0500,=45.0500,=155995959695.25,=93489895595.0,=39183061689.75,,=17.0526,,,,
