date,stockCode,涨跌幅
2025-12-08T00:00:00+08:00,002475,0.014
2025-12-09T00:00:00+08:00,002475,0.0087
2025-12-10T00:00:00+08:00,002475,-0.0177
2025-12-11T00:00:00+08:00,002475,-0.0215
2025-12-12T00:00:00+08:00,002475,0.0366
2025-12-15T00:00:00+08:00,002475,-0.05
2025-12-16T00:00:00+08:00,002475,-0.0005
2025-12-17T00:00:00+08:00,002475,0.0232
2025-12-18T00:00:00+08:00,002475,-0.0286
2025-12-19T00:00:00+08:00,002475,-0.0035
2025-12-22T00:00:00+08:00,002475,0.0167
2025-12-23T00:00:00+08:00,002475,0.0055
2025-12-24T00:00:00+08:00,002475,0.0214
2025-12-25T00:00:00+08:00,002475,0.0024
2025-12-26T00:00:00+08:00,002475,-0.0173
2025-12-29T00:00:00+08:00,002475,-0.0031
2025-12-30T00:00:00+08:00,002475,-0.0026
2025-12-31T00:00:00+08:00,002475,-0.0234
2026-01-05T00:00:00+08:00,002475,0.0324
2026-01-06T00:00:00+08:00,002475,0.0114
2026-01-07T00:00:00+08:00,002475,-0.0282
2026-01-08T00:00:00+08:00,002475,-0.0415
2026-01-09T00:00:00+08:00,002475,0.0089
2026-01-12T00:00:00+08:00,002475,-0.004
2026-01-13T00:00:00+08:00,002475,-0.0153
2026-01-14T00:00:00+08:00,002475,-0.0183
2026-01-15T00:00:00+08:00,002475,0.0707
2026-01-16T00:00:00+08:00,002475,0.0124
2026-01-19T00:00:00+08:00,002475,-0.0038
2026-01-20T00:00:00+08:00,002475,-0.0069
2026-01-21T00:00:00+08:00,002475,-0.007
2026-01-22T00:00:00+08:00,002475,-0.0114
2026-01-23T00:00:00+08:00,002475,-0.0161
2026-01-26T00:00:00+08:00,002475,-0.0254
2026-01-27T00:00:00+08:00,002475,-0.0068
2026-01-28T00:00:00+08:00,002475,-0.0082
2026-01-29T00:00:00+08:00,002475,-0.0261
2026-01-30T00:00:00+08:00,002475,-0.0039
2026-02-02T00:00:00+08:00,002475,0.0103
2026-02-03T00:00:00+08:00,002475,0.0046
2026-02-04T00:00:00+08:00,002475,-0.0107
2026-02-05T00:00:00+08:00,002475,-0.0039
2026-02-06T00:00:00+08:00,002475,-0.0103
2026-02-09T00:00:00+08:00,002475,0.0107
2026-02-10T00:00:00+08:00,002475,-0.0006
2026-02-11T00:00:00+08:00,002475,-0.0104
2026-02-12T00:00:00+08:00,002475,-0.011
2026-02-13T00:00:00+08:00,002475,0.0073
2026-02-24T00:00:00+08:00,002475,-0.0033
2026-02-25T00:00:00+08:00,002475,0.0188
2026-02-26T00:00:00+08:00,002475,-0.0081
2026-02-27T00:00:00+08:00,002475,-0.0184
2026-03-02T00:00:00+08:00,002475,-0.0221
2026-03-03T00:00:00+08:00,002475,-0.035
2026-03-04T00:00:00+08:00,002475,-0.0234
2026-03-05T00:00:00+08:00,002475,0.0156
2026-03-06T00:00:00+08:00,002475,0.0064
2026-03-09T00:00:00+08:00,002475,-0.0169
2026-03-10T00:00:00+08:00,002475,0.0622
2026-03-11T00:00:00+08:00,002475,0.0158
2026-03-12T00:00:00+08:00,002475,-0.0094
2026-03-13T00:00:00+08:00,002475,-0.0074
2026-03-16T00:00:00+08:00,002475,-0.0014
2026-03-17T00:00:00+08:00,002475,0.0116
2026-03-18T00:00:00+08:00,002475,-0.0098
2026-03-19T00:00:00+08:00,002475,-0.0263
2026-03-20T00:00:00+08:00,002475,0.0037
2026-03-23T00:00:00+08:00,002475,-0.0398
2026-03-24T00:00:00+08:00,002475,0.0009
2026-03-25T00:00:00+08:00,002475,0.0999
2026-03-26T00:00:00+08:00,002475,-0.0153
2026-03-27T00:00:00+08:00,002475,0.0084
2026-03-30T00:00:00+08:00,002475,-0.0366
2026-03-31T00:00:00+08:00,002475,0.0103
2026-04-01T00:00:00+08:00,002475,0.0231
2026-04-02T00:00:00+08:00,002475,-0.0101
2026-04-03T00:00:00+08:00,002475,-0.0218
2026-04-07T00:00:00+08:00,002475,-0.0084
2026-04-08T00:00:00+08:00,002475,0.0802
2026-04-09T00:00:00+08:00,002475,0.054
2026-04-10T00:00:00+08:00,002475,0.0561
2026-04-13T00:00:00+08:00,002475,0.0072
2026-04-14T00:00:00+08:00,002475,0.0092
2026-04-15T00:00:00+08:00,002475,-0.0061
2026-04-16T00:00:00+08:00,002475,0.0284
