日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-02-26,=385.9000,=385.9000,=385.9000,=385.9000,=383588193500.8,=341683243039.0,=327757247356.6,,=19.1591,,,,
2026-02-25,=382.0000,=382.0000,=382.0000,=382.0000,=379711557184.0,=338230108424.0,=324444852268.0,,=18.9655,,,,
2026-02-24,=372.0600,=372.0600,=372.0600,=372.0600,=369831104622.7201,=329429042252.0,=316002491452.44,,=18.4720,,,,
2026-02-13,=366.1100,=366.1100,=366.1100,=366.1100,=363916749216.32,=324160798417.0,=310948965612.14,,=18.1766,,,,
2026-02-12,=365.7600,=365.7600,=365.7600,=365.7600,=363568845957.12,=323850901720.0,=310651699386.24,,=18.1592,,,,
2026-02-11,=371.6600,=371.6600,=371.6600,=371.6600,=369433500897.9201,=329074874599.0,=315662758622.84,,=18.4521,,,,
2026-02-10,=393.1100,=393.1100,=393.1100,=393.1100,=390755000640.32,=348067114981.0,=333880931610.14,,=19.5171,,,,
2026-02-09,=390.1500,=390.1500,=390.1500,=390.1500,=387812733076.8,=345446274350.0,=331366908671.1,,=19.3701,,,,
2026-02-06,=364.0600,=364.0600,=364.0600,=364.0600,=361879030126.7201,=322345689196.0,=309207834860.44,,=18.0748,,,,
2026-02-05,=383.0000,=383.0000,=383.0000,=383.0000,=380705566496.0,=339115527556.0,=325294184342.0,,=19.0151,,,,
2026-02-04,=399.2000,=399.2000,=399.2000,=399.2000,=396808517350.4,=353459317494.0,=339053363940.8,,=19.8194,,,,
2026-02-03,=429.1000,=429.1000,=429.1000,=429.1000,=426529395779.2,=379933349541.0,=364448392953.4,,=21.3039,,,,
2026-02-02,=439.0000,=439.0000,=439.0000,=439.0000,=436370087968.0,=388698998948.0,=372856780486.0,,=21.7954,,,,
2026-01-30,=419.4900,=419.4900,=419.4900,=419.4900,=416976966290.88,=371424471683.0,=356286311722.26,,=20.8268,,,,
2026-01-29,=393.0000,=393.0000,=393.0000,=393.0000,=390645659616.0,=347969718876.0,=333787505082.0,,=19.5116,,,,
2026-01-28,=393.0500,=393.0500,=393.0500,=393.0500,=390695360081.6001,=348013989833.0,=333829971685.7,,=19.5141,,,,
2026-01-27,=399.2400,=399.2400,=399.2400,=399.2400,=396848277722.88,=353494734260.0,=339087337223.76,,=19.8214,,,,
