日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2025-10-16,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=20.3039,,,,
2025-10-15,=6.8000,=6.8000,=6.8000,=6.8000,=622248543153.2,=527882155153.0,=97642062729.6,,=20.2148,,,,
2025-10-14,=6.8400,=6.8400,=6.8400,=6.8400,=625908828701.16,=530987344301.0,=98216427804.48,,=20.3337,,,,
2025-10-13,=6.8300,=6.8300,=6.8300,=6.8300,=624993757314.17,=530211047014.0,=98072836535.76,,=20.3039,,,,
2025-10-10,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=20.0959,,,,
2025-10-09,=6.7600,=6.7600,=6.7600,=6.7600,=618588257605.24,=524776966005.0,=97067697654.72,,=20.0959,,,,
2025-09-30,=6.6600,=6.6600,=6.6600,=6.6600,=609437543735.34,=517013993135.0,=95631784967.52,,=19.7986,,,,
2025-09-29,=6.6600,=6.6600,=6.6600,=6.6600,=609437543735.34,=517013993135.0,=95631784967.52,,=19.7986,,,,
2025-09-26,=6.6700,=6.6700,=6.6700,=6.6700,=610352615122.33,=517790290422.0,=95775376236.24,,=19.8283,,,,
2025-09-25,=6.6900,=6.6900,=6.6900,=6.6900,=612182757896.31,=519342884996.0,=96062558773.68,,=19.8878,,,,
2025-09-24,=6.7200,=6.7200,=6.7200,=6.7200,=614927972057.28,=521671776857.0,=96493332579.84,,=19.9769,,,,
2025-09-23,=6.6900,=6.6900,=6.6900,=6.6900,=612182757896.31,=519342884996.0,=96062558773.68,,=19.8878,,,,
2025-09-22,=6.7300,=6.7300,=6.7300,=6.7300,=615843043444.27,=522448074144.0,=96636923848.56,,=20.0067,,,,
2025-09-19,=6.7800,=6.7800,=6.7800,=6.7800,=620418400379.22,=526329560579.0,=97354880192.16,,=20.1553,,,,
2025-09-18,=6.7700,=6.7700,=6.7700,=6.7700,=619503328992.23,=525553263292.0,=97211288923.44,,=20.1256,,,,
2025-09-17,=6.9500,=6.9500,=6.9500,=6.9500,=635974613958.05,=539526614458.0,=99795931760.4,,=20.6607,,,,
2025-09-16,=7.0000,=7.0000,=7.0000,=7.0000,=640549970893.0,=543408100893.0,=100513888104.0,,=20.8093,,,,
2025-09-15,=7.1300,=7.1300,=7.1300,=7.1300,=652445898923.87,=553499965624.0,=102380574597.36,,=21.1958,,,,
2025-09-12,=7.2300,=7.2300,=7.2300,=7.2300,=661596612793.77,=561262938494.0,=103816487284.56,,=21.4931,,,,
2025-09-11,=7.3300,=7.3300,=7.3300,=7.3300,=670747326663.67,=569025911364.0,=105252399971.76,,=21.7903,,,,
2025-09-10,=7.2900,=7.2900,=7.2900,=7.2900,=667087041115.71,=565920722216.0,=104678034896.88,,=21.6714,,,,
2025-09-09,=7.2000,=7.2000,=7.2000,=7.2000,=658851398632.8,=558934046633.0,=103385713478.4,,=21.4039,,,,
2025-09-08,=7.2700,=7.2700,=7.2700,=7.2700,=665256898341.73,=564368127642.0,=104390852359.44,,=21.6120,,,,
2025-09-05,=7.2600,=7.2600,=7.2600,=7.2600,=664341826954.74,=563591830355.0,=104247261090.72,,=21.5822,,,,
2025-09-04,=7.4000,=7.4000,=7.4000,=7.4000,=677152826372.6,=574459992373.0,=106257538852.8,,=21.9984,,,,
2025-09-03,=7.5800,=7.5800,=7.5800,=7.5800,=693624111338.42,=588433343538.0,=108842181689.76,,=22.5335,,,,
2025-09-02,=7.6200,=7.6200,=7.6200,=7.6200,=697284396886.38,=591538532686.0,=109416546764.64,,=22.6524,,,,
2025-09-01,=7.5800,=7.5800,=7.5800,=7.5800,=693624111338.42,=588433343538.0,=108842181689.76,,=22.5335,,,,
2025-08-29,=7.6100,=7.6100,=7.6100,=7.6100,=696369325499.39,=590762235399.0,=109272955495.92,,=22.6227,,,,
2025-08-28,=7.5800,=7.5800,=7.5800,=7.5800,=693624111338.42,=588433343538.0,=108842181689.76,,=22.5335,,,,
