日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-09-12,=7.2300,=7.2300,=7.2300,=7.2300,=661596612793.77,=561262938494.0,=103816487284.56,,=1.5776,,,,
2025-09-11,=7.3300,=7.3300,=7.3300,=7.3300,=670747326663.67,=569025911364.0,=105252399971.76,,=1.5994,,,,
2025-09-10,=7.2900,=7.2900,=7.2900,=7.2900,=667087041115.71,=565920722216.0,=104678034896.88,,=1.5907,,,,
2025-09-09,=7.2000,=7.2000,=7.2000,=7.2000,=658851398632.8,=558934046633.0,=103385713478.4,,=1.5710,,,,
2025-09-08,=7.2700,=7.2700,=7.2700,=7.2700,=665256898341.73,=564368127642.0,=104390852359.44,,=1.5863,,,,
2025-09-05,=7.2600,=7.2600,=7.2600,=7.2600,=664341826954.74,=563591830355.0,=104247261090.72,,=1.5841,,,,
2025-09-04,=7.4000,=7.4000,=7.4000,=7.4000,=677152826372.6,=574459992373.0,=106257538852.8,,=1.6147,,,,
2025-09-03,=7.5800,=7.5800,=7.5800,=7.5800,=693624111338.42,=588433343538.0,=108842181689.76,,=1.5910,,,,
2025-09-02,=7.6200,=7.6200,=7.6200,=7.6200,=697284396886.38,=591538532686.0,=109416546764.64,,=1.5994,,,,
2025-09-01,=7.5800,=7.5800,=7.5800,=7.5800,=693624111338.42,=588433343538.0,=108842181689.76,,=1.5910,,,,
2025-08-29,=7.6100,=7.6100,=7.6100,=7.6100,=696369325499.39,=590762235399.0,=109272955495.92,,=1.5973,,,,
2025-08-28,=7.5800,=7.5800,=7.5800,=7.5800,=693624111338.42,=588433343538.0,=108842181689.76,,=1.5910,,,,
