date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2025-08-22,1091010520699.26,7.4124,,,,,1.0852,,,,,7.3917,,,,,0.0462,3.2585,,,,,1.0745,,,,
2025-08-21,1096306688275.47,7.4483,,,,,1.0905,,,,,7.4276,,,,,0.0460,3.2743,,,,,1.0798,,,,
2025-08-20,1095802291363.45,7.4449,,,,,1.0900,,,,,7.4241,,,,,0.0460,3.2728,,,,,1.0793,,,,
2025-08-19,1094541299083.4,7.4363,,,,,1.0887,,,,,7.4156,,,,,0.0461,3.2690,,,,,1.0780,,,,
2025-08-18,1097315482099.51,7.4552,,,,,1.0915,,,,,7.4344,,,,,0.0460,3.2773,,,,,1.0808,,,,
2025-08-15,1092019314523.3,7.4192,,,,,1.0862,,,,,7.3985,,,,,0.0462,3.2615,,,,,1.0755,,,,
2025-08-14,1104124840411.78,7.5015,,,,,1.0982,,,,,7.4805,,,,,0.0457,3.2976,,,,,1.0875,,,,
2025-08-13,1098072077467.54,7.4603,,,,,1.0922,,,,,7.4395,,,,,0.0459,3.2796,,,,,1.0815,,,,
2025-08-12,1109673206444.0,7.5392,,,,,1.1037,,,,,7.5181,,,,,0.0455,3.3142,,,,,1.0929,,,,
2025-08-11,1112195191004.1,7.5563,,,,,1.1063,,,,,7.5352,,,,,0.0454,3.3218,,,,,1.0954,,,,
2025-08-08,1123039724612.53,7.6300,,,,,1.1170,,,,,7.6087,,,,,0.0449,3.3541,,,,,1.1061,,,,
2025-08-07,1138676028885.15,7.7362,,,,,1.1326,,,,,7.7146,,,,,0.0443,3.4008,,,,,1.1215,,,,
2025-08-06,1137919433517.12,7.7311,,,,,1.1318,,,,,7.7095,,,,,0.0443,3.3986,,,,,1.1207,,,,
2025-08-05,1141198013445.25,7.7533,,,,,1.1351,,,,,7.7317,,,,,0.0442,3.4084,,,,,1.1240,,,,
2025-08-04,1132371067484.9,7.6934,,,,,1.1263,,,,,7.6719,,,,,0.0445,3.3820,,,,,1.1153,,,,
2025-08-01,1120265541596.42,7.6111,,,,,1.1143,,,,,7.5899,,,,,0.0450,3.3459,,,,,1.1034,,,,
2025-07-31,1121778732332.48,7.6214,,,,,1.1158,,,,,7.6001,,,,,0.0450,3.3504,,,,,1.1049,,,,
2025-07-30,1120265541596.42,7.6111,,,,,1.1143,,,,,7.5899,,,,,0.0450,3.3459,,,,,1.1034,,,,
2025-07-29,1113203984828.14,7.5631,,,,,1.1073,,,,,7.5420,,,,,0.0453,3.3248,,,,,1.0964,,,,
2025-07-28,1120769938508.44,7.6145,,,,,1.1148,,,,,7.5933,,,,,0.0450,3.3474,,,,,1.1039,,,,
2025-07-25,1130605678292.83,7.6814,,,,,1.1246,,,,,7.6599,,,,,0.0446,3.3767,,,,,1.1135,,,,
2025-07-24,1131866670572.88,7.6899,,,,,1.1258,,,,,7.6685,,,,,0.0446,3.3805,,,,,1.1148,,,,
2025-07-23,1137919433517.12,7.7311,,,,,1.1318,,,,,7.7095,,,,,0.0443,3.3986,,,,,1.1207,,,,
2025-07-22,1133379861308.94,7.7002,,,,,1.1273,,,,,7.6787,,,,,0.0445,3.3850,,,,,1.1163,,,,
2025-07-21,1131110075204.85,7.6848,,,,,1.1251,,,,,7.6633,,,,,0.0446,3.3782,,,,,1.1140,,,,
2025-07-18,1136154044325.05,7.7191,,,,,1.1301,,,,,7.6975,,,,,0.0444,3.3933,,,,,1.1190,,,,
2025-07-17,1134893052045.0,7.7105,,,,,1.1288,,,,,7.6890,,,,,0.0444,3.3895,,,,,1.1178,,,,
2025-07-16,1137667235061.11,7.7293,,,,,1.1316,,,,,7.7078,,,,,0.0443,3.3978,,,,,1.1205,,,,
2025-07-15,1140441418077.22,7.7482,,,,,1.1344,,,,,7.7266,,,,,0.0442,3.4061,,,,,1.1232,,,,
2025-07-14,1149268364037.57,7.8082,,,,,1.1431,,,,,7.7864,,,,,0.0439,3.4325,,,,,1.1319,,,,
2025-07-11,1151033753229.64,7.8202,,,,,1.1449,,,,,7.7983,,,,,0.0438,3.4377,,,,,1.1337,,,,
2025-07-10,1216605351792.24,8.2657,,,,,1.1523,,,,,8.2426,,,,,0.0415,3.6336,,,,,1.1415,,,,
2025-07-09,1188611323175.13,8.0755,,,,,1.1258,,,,,8.0529,,,,,0.0424,3.5500,,,,,1.1153,,,,
2025-07-08,1200969047519.62,8.1594,,,,,1.1375,,,,,8.1366,,,,,0.0420,3.5869,,,,,1.1269,,,,
2025-07-07,1190376712367.2,8.0875,,,,,1.1275,,,,,8.0649,,,,,0.0424,3.5553,,,,,1.1169,,,,
