date,stockCode,融资净买入金额
2025-09-15T00:00:00+08:00,002475,64141282
2025-09-16T00:00:00+08:00,002475,16738837
2025-09-17T00:00:00+08:00,002475,-65769989
2025-09-18T00:00:00+08:00,002475,80368455
2025-09-19T00:00:00+08:00,002475,493699100
2025-09-22T00:00:00+08:00,002475,-106956383
2025-09-23T00:00:00+08:00,002475,1352186459
2025-09-24T00:00:00+08:00,002475,1461411486
2025-09-25T00:00:00+08:00,002475,-103067995
2025-09-26T00:00:00+08:00,002475,-772052457
2025-09-29T00:00:00+08:00,002475,-483853623
2025-09-30T00:00:00+08:00,002475,-11701792
2025-10-09T00:00:00+08:00,002475,436050269
2025-10-10T00:00:00+08:00,002475,-407957719
2025-10-13T00:00:00+08:00,002475,-550139614
2025-10-14T00:00:00+08:00,002475,-151213184
2025-10-15T00:00:00+08:00,002475,148871779
2025-10-16T00:00:00+08:00,002475,808082221
2025-10-17T00:00:00+08:00,002475,-571355978
2025-10-20T00:00:00+08:00,002475,-486260185
2025-10-21T00:00:00+08:00,002475,674026138
2025-10-22T00:00:00+08:00,002475,-296652303
2025-10-23T00:00:00+08:00,002475,-89625322
2025-10-24T00:00:00+08:00,002475,619328840
2025-10-27T00:00:00+08:00,002475,-599304388
2025-10-28T00:00:00+08:00,002475,-297211806
2025-10-29T00:00:00+08:00,002475,-85319318
2025-10-30T00:00:00+08:00,002475,-196196544
2025-10-31T00:00:00+08:00,002475,-29654384
2025-11-03T00:00:00+08:00,002475,-168126766
2025-11-04T00:00:00+08:00,002475,-251099714
2025-11-05T00:00:00+08:00,002475,-211819997
2025-11-06T00:00:00+08:00,002475,214408663
2025-11-07T00:00:00+08:00,002475,-45618935
2025-11-10T00:00:00+08:00,002475,202556818
2025-11-11T00:00:00+08:00,002475,46247451
2025-11-12T00:00:00+08:00,002475,-32542374
2025-11-13T00:00:00+08:00,002475,96397699
2025-11-14T00:00:00+08:00,002475,-82938688
2025-11-17T00:00:00+08:00,002475,-34443519
2025-11-18T00:00:00+08:00,002475,2528967
2025-11-19T00:00:00+08:00,002475,225478061
2025-11-20T00:00:00+08:00,002475,-89292410
2025-11-21T00:00:00+08:00,002475,-248785375
2025-11-24T00:00:00+08:00,002475,-158243700
2025-11-25T00:00:00+08:00,002475,326530436
2025-11-26T00:00:00+08:00,002475,482182240
2025-11-27T00:00:00+08:00,002475,-41317453
2025-11-28T00:00:00+08:00,002475,-20331368
2025-12-01T00:00:00+08:00,002475,-140075532
2025-12-02T00:00:00+08:00,002475,-107309042
2025-12-03T00:00:00+08:00,002475,-13819714
2025-12-04T00:00:00+08:00,002475,-94714203
2025-12-05T00:00:00+08:00,002475,8358397
2025-12-08T00:00:00+08:00,002475,43999664
2025-12-09T00:00:00+08:00,002475,-100300698
2025-12-10T00:00:00+08:00,002475,106171089
2025-12-11T00:00:00+08:00,002475,-233785016
2025-12-12T00:00:00+08:00,002475,-200722636
2025-12-15T00:00:00+08:00,002475,192866409
2025-12-16T00:00:00+08:00,002475,-112402617
2025-12-17T00:00:00+08:00,002475,-105331114
2025-12-18T00:00:00+08:00,002475,-58504088
2025-12-19T00:00:00+08:00,002475,-28447076
2025-12-22T00:00:00+08:00,002475,-79066281
2025-12-23T00:00:00+08:00,002475,-130169247
2025-12-24T00:00:00+08:00,002475,-74580701
2025-12-25T00:00:00+08:00,002475,-51121406
2025-12-26T00:00:00+08:00,002475,91254165
2025-12-29T00:00:00+08:00,002475,70314031
2025-12-30T00:00:00+08:00,002475,24239666
2025-12-31T00:00:00+08:00,002475,104766174
2026-01-05T00:00:00+08:00,002475,-18174397
2026-01-06T00:00:00+08:00,002475,-44669395
2026-01-07T00:00:00+08:00,002475,328726884
2026-01-08T00:00:00+08:00,002475,525893942
2026-01-09T00:00:00+08:00,002475,-173545665
2026-01-12T00:00:00+08:00,002475,190983312
2026-01-13T00:00:00+08:00,002475,-85881208
2026-01-14T00:00:00+08:00,002475,141850823
2026-01-15T00:00:00+08:00,002475,1446621468
2026-01-16T00:00:00+08:00,002475,219916296
2026-01-19T00:00:00+08:00,002475,-916081957
2026-01-20T00:00:00+08:00,002475,-118389025
2026-01-21T00:00:00+08:00,002475,27533051
2026-01-22T00:00:00+08:00,002475,-389596729
2026-01-23T00:00:00+08:00,002475,-17010353
2026-01-26T00:00:00+08:00,002475,41574151
2026-01-27T00:00:00+08:00,002475,30611048
2026-01-28T00:00:00+08:00,002475,38564757
2026-01-29T00:00:00+08:00,002475,-31201130
2026-01-30T00:00:00+08:00,002475,-77722643
2026-02-02T00:00:00+08:00,002475,-185737648
2026-02-03T00:00:00+08:00,002475,160231693
2026-02-04T00:00:00+08:00,002475,-236069605
2026-02-05T00:00:00+08:00,002475,-33810989
2026-02-06T00:00:00+08:00,002475,-34387191
2026-02-09T00:00:00+08:00,002475,-52924300
2026-02-10T00:00:00+08:00,002475,-8314078
2026-02-11T00:00:00+08:00,002475,105777413
2026-02-12T00:00:00+08:00,002475,112523974
2026-02-13T00:00:00+08:00,002475,-219468423
2026-02-24T00:00:00+08:00,002475,88950711
2026-02-25T00:00:00+08:00,002475,-22859685
2026-02-26T00:00:00+08:00,002475,40231138
2026-02-27T00:00:00+08:00,002475,98139195
2026-03-02T00:00:00+08:00,002475,62914878
