date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2025-08-20,140528930659.92,0.1228,,,,,0.0313,0.4590,,,,,0.4613,,,,,6.1881,,,,,5.3169,,,,
2025-08-19,139786700392.35,0.1222,,,,,0.0315,0.4565,,,,,0.4589,,,,,6.1554,,,,,5.2888,,,,
2025-08-18,140034110481.54,0.1224,,,,,0.0314,0.4574,,,,,0.4597,,,,,6.1663,,,,,5.2982,,,,
2025-08-15,139786700392.35,0.1222,,,,,0.0315,0.4565,,,,,0.4589,,,,,6.1554,,,,,5.2888,,,,
2025-08-14,139786700392.35,0.1222,,,,,0.0315,0.4565,,,,,0.4589,,,,,6.1554,,,,,5.2888,,,,
2025-08-13,141023750838.3,0.1233,,,,,0.0312,0.4606,,,,,0.4629,,,,,6.2099,,,,,5.3356,,,,
2025-08-12,141518571016.68,0.1237,,,,,0.0311,0.4622,,,,,0.4646,,,,,6.2317,,,,,5.3543,,,,
2025-08-11,142260801284.25,0.1244,,,,,0.0310,0.4646,,,,,0.4670,,,,,6.2643,,,,,5.3824,,,,
2025-08-08,141765981105.87,0.1239,,,,,0.0311,0.4630,,,,,0.4654,,,,,6.2425,,,,,5.3637,,,,
2025-08-07,140281520570.73,0.1226,,,,,0.0314,0.4582,,,,,0.4605,,,,,6.1772,,,,,5.3075,,,,
2025-08-06,140528930659.92,0.1228,,,,,0.0313,0.4590,,,,,0.4613,,,,,6.1881,,,,,5.3169,,,,
2025-08-05,140528930659.92,0.1228,,,,,0.0313,0.4590,,,,,0.4613,,,,,6.1881,,,,,5.3169,,,,
2025-08-04,140281520570.73,0.1226,,,,,0.0314,0.4582,,,,,0.4605,,,,,6.1772,,,,,5.3075,,,,
2025-08-01,140281520570.73,0.1226,,,,,0.0314,0.4582,,,,,0.4605,,,,,6.1772,,,,,5.3075,,,,
2025-07-31,140776340749.11,0.1231,,,,,0.0313,0.4598,,,,,0.4621,,,,,6.1990,,,,,5.3263,,,,
2025-07-30,142508211373.44,0.1246,,,,,0.0309,0.4654,,,,,0.4678,,,,,6.2752,,,,,5.3918,,,,
2025-07-29,143003031551.82,0.1250,,,,,0.0308,0.4670,,,,,0.4694,,,,,6.2970,,,,,5.4105,,,,
2025-07-28,143250441641.01,0.1252,,,,,0.0307,0.4679,,,,,0.4702,,,,,6.3079,,,,,5.4199,,,,
2025-07-25,144240081997.77,0.1261,,,,,0.0305,0.4711,,,,,0.4735,,,,,6.3515,,,,,5.4573,,,,
2025-07-24,147456413157.24,0.1289,,,,,0.0299,0.4816,,,,,0.4841,,,,,6.4931,,,,,5.5790,,,,
2025-07-23,146466772800.48,0.1280,,,,,0.0301,0.4784,,,,,0.4808,,,,,6.4495,,,,,5.5416,,,,
2025-07-22,152404614941.04,0.1332,,,,,0.0289,0.4978,,,,,0.5003,,,,,6.7110,,,,,5.7662,,,,
2025-07-21,145724542532.91,0.1274,,,,,0.0302,0.4759,,,,,0.4784,,,,,6.4169,,,,,5.5135,,,,
2025-07-18,139291880213.97,0.1218,,,,,0.0316,0.4549,,,,,0.4573,,,,,6.1336,,,,,5.2701,,,,
2025-07-17,142508211373.44,0.1246,,,,,0.0309,0.4588,,,,,0.4611,,,,,6.2752,,,,,5.3918,,,,
2025-07-16,142260801284.25,0.1244,,,,,0.0310,0.4580,,,,,0.4603,,,,,6.2643,,,,,5.3824,,,,
2025-07-15,143497851730.2,0.1254,,,,,0.0307,0.4620,,,,,0.4643,,,,,6.3188,,,,,5.4292,,,,
2025-07-14,144240081997.77,0.1261,,,,,0.0305,0.4644,,,,,0.4668,,,,,6.3515,,,,,5.4573,,,,
2025-07-11,143497851730.2,0.1254,,,,,0.0307,0.4620,,,,,0.4643,,,,,6.3188,,,,,5.4292,,,,
2025-07-10,143003031551.82,0.1250,,,,,0.0308,0.4604,,,,,0.4627,,,,,6.2970,,,,,5.4105,,,,
2025-07-09,142755621462.63,0.1248,,,,,0.0308,0.4596,,,,,0.4619,,,,,6.2861,,,,,5.4011,,,,
2025-07-08,141518571016.68,0.1237,,,,,0.0311,0.4556,,,,,0.4579,,,,,6.2317,,,,,5.3543,,,,
2025-07-07,141023750838.3,0.1233,,,,,0.0312,0.4541,,,,,0.4563,,,,,6.2099,,,,,5.3356,,,,
