日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-11-04,=7.6300,=7.6300,=7.6300,=7.6300,=218972332991.44,=185621099106.0,=74317877058.74,,=1.2921,,,,
2025-11-03,=7.6400,=7.6400,=7.6400,=7.6400,=219259321632.32,=185864377087.0,=74415279256.72,,=1.2938,,,,
2025-10-31,=7.6700,=7.6700,=7.6700,=7.6700,=220120287554.96,=186594211028.0,=74707485850.66,,=1.2988,,,,
2025-10-30,=8.0400,=8.0400,=8.0400,=8.0400,=230738867267.52,=195595496306.0,=78311367175.92,,=1.3604,,,,
2025-10-29,=8.0400,=8.0400,=8.0400,=8.0400,=230738867267.52,=195595496306.0,=78311367175.92,,=1.3604,,,,
2025-10-28,=8.0300,=8.0300,=8.0300,=8.0300,=230451878626.64,=195352218325.0,=78213964977.94,,=1.3587,,,,
2025-10-27,=8.0000,=8.0000,=8.0000,=8.0000,=229590912704.0,=194622384384.0,=77921758384.0,,=1.3536,,,,
2025-10-24,=7.9600,=7.9600,=7.9600,=7.9600,=228442958140.48,=193649272462.0,=77532149592.08,,=1.3468,,,,
2025-10-23,=7.9800,=7.9800,=7.9800,=7.9800,=229016935422.24,=194135828423.0,=77726953988.04,,=1.3502,,,,
2025-10-22,=7.9200,=7.9200,=7.9200,=7.9200,=227295003576.96,=192676160540.0,=77142540800.16,,=1.3401,,,,
2025-10-21,=7.9300,=7.9300,=7.9300,=7.9300,=227581992217.84,=192919438521.0,=77239942998.14,,=1.3418,,,,
2025-10-20,=7.6800,=7.6800,=7.6800,=7.6800,=220407276195.84,=186837489009.0,=74804888048.64,,=1.2995,,,,
2025-10-17,=7.7100,=7.7100,=7.7100,=7.7100,=221268242118.48,=187567322950.0,=75097094642.58,,=1.3045,,,,
2025-10-16,=7.8700,=7.8700,=7.8700,=7.8700,=225860060372.56,=191459770638.0,=76655529810.26,,=1.3316,,,,
2025-10-15,=7.8300,=7.8300,=7.8300,=7.8300,=224712105809.04,=190486658716.0,=76265921018.34,,=1.3248,,,,
2025-10-14,=7.7000,=7.7000,=7.7000,=7.7000,=220981253477.6,=187324044970.0,=74999692444.6,,=1.3028,,,,
