date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元),理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),PEG
2025-11-25,27.3155,0.1923,41.21,35.7368,27.3424,0,4.9363,0.1923,7.3635,6.3856,4.9412,6.6206,0.1703,12.2248,10.6728,6.6695,,406.0,406.0,406.0,406.0,154125232800.0,0.8536
2025-11-24,27.3424,0.1934,41.21,35.8575,27.3828,0,4.9412,0.1934,7.3635,6.4071,4.9485,6.6271,0.1713,12.2248,10.68,6.676,,406.4,406.4,406.4,406.4,154277080320.0,0.8544
2025-11-21,26.7638,0.1,41.21,35.9783,27.3963,0,4.8366,0.1,7.3635,6.4287,4.9509,6.4869,0.0833,12.2248,10.6872,6.6826,,397.8,397.8,397.8,397.8,151012358640.0,0.8364
2025-11-20,27.3963,0.1955,41.21,35.9783,27.4366,0,4.9509,0.1955,7.3635,6.4287,4.9582,6.6402,0.1732,12.2248,10.6967,6.6858,,407.2,407.2,407.2,407.2,154580775360.0,0.8561
2025-11-19,27.7461,0.2472,41.21,35.9783,27.5174,0,5.0141,0.2472,7.3635,6.4287,4.9728,6.725,0.2247,12.2248,10.7063,6.6924,,412.4,412.4,412.4,412.4,156554793120.0,0.8671
2025-11-18,27.6115,0.226,41.21,36.0024,27.4366,0,4.9898,0.226,7.3635,6.433,4.9582,6.6924,0.2034,12.2248,10.7086,6.6858,,410.4,410.4,410.4,410.4,155795555520.0,0.8629
2025-11-17,27.7192,0.2386,41.21,36.0266,27.4366,0,5.0093,0.2386,7.3635,6.4373,4.9582,6.7184,0.2159,12.2248,10.711,6.6858,,412.0,412.0,412.0,412.0,156402945600.0,0.8662
2025-11-14,27.9076,0.2457,41.21,36.0588,27.4366,0,5.0433,0.2457,7.3635,6.4431,4.9582,6.7641,0.2229,12.2248,10.726,6.6858,,414.8,414.8,414.8,414.8,157465878240.0,0.8721
2025-11-13,28.1094,0.2586,41.21,36.091,27.4366,0,5.0798,0.2701,7.3635,6.4488,4.9582,6.813,0.2356,12.2248,10.741,6.6858,,417.8,417.8,417.8,417.8,158604734640.0,0.8784
2025-11-12,28.9571,0.3006,41.21,36.099,27.4366,0,5.233,0.3006,7.3635,6.4503,4.9582,7.0185,0.2659,12.2248,10.7427,6.6858,,430.4,430.4,430.4,430.4,163387931520.0,0.9049
